chirpstack_time,server_time,devName,devEui,humidity,temperature
1662089104000,1662089104637,EM300-2,24e124136b327793,79.5,18.7
1662089200067,1662089200340,EM300-3,24e124136b327790,79,18.8
1662089351850,1662089352115,EM300-1,24e124136c195948,88,19.1
1662089404388,1662089404667,EM300-2,24e124136b327793,79.5,18.8
1662089502232,1662089502483,EM300-3,24e124136b327790,77.5,18.8
1662089651849,1662089652175,EM300-1,24e124136c195948,88,19.1
1662089704382,1662089704617,EM300-2,24e124136b327793,80.5,18.7
1662089799000,1662089800333,EM300-3,24e124136b327790,78,18.8
1662090006000,1662090006784,EM300-2,24e124136b327793,80.5,18.8
1662090099000,1662090100389,EM300-3,24e124136b327790,77.5,18.8
1662090251000,1662090252078,EM300-1,24e124136c195948,88,19.2
1662090304000,1662090304643,EM300-2,24e124136b327793,82.5,18.8
1662090399000,1662090400353,EM300-3,24e124136b327790,78.5,18.9
1662090551000,1662090552132,EM300-1,24e124136c195948,88,19.2
1662090604000,1662090604601,EM300-2,24e124136b327793,81.5,18.8
1662090699000,1662090700305,EM300-3,24e124136b327790,76.5,18.8
1662090851000,1662090852085,EM300-1,24e124136c195948,87.5,19.3
1662090904000,1662090904639,EM300-2,24e124136b327793,80,18.9
1662090999000,1662091000362,EM300-3,24e124136b327790,78,18.8
1662091153000,1662091154331,EM300-1,24e124136c195948,87.5,19.2
1662091204000,1662091204681,EM300-2,24e124136b327793,81,18.9
1662091299000,1662091300292,EM300-3,24e124136b327790,78,18.8
1662091451000,1662091452161,EM300-1,24e124136c195948,87,19.2
1662091504000,1662091504630,EM300-2,24e124136b327793,82,18.9
1662091599000,1662091600248,EM300-3,24e124136b327790,79,18.9
1662091751000,1662091752120,EM300-1,24e124136c195948,86.5,19.3
1662091804000,1662091804591,EM300-2,24e124136b327793,80.5,18.9
1662091899000,1662091900305,EM300-3,24e124136b327790,77.5,18.9
1662092051000,1662092052087,EM300-1,24e124136c195948,86.5,19.2
1662092351000,1662092352150,EM300-1,24e124136c195948,86.5,19.2
1662092404000,1662092404598,EM300-2,24e124136b327793,82,18.9
1662092499000,1662092500309,EM300-3,24e124136b327790,78.5,19
1662092651000,1662092652112,EM300-1,24e124136c195948,85.5,19.2
1662092704000,1662092704559,EM300-2,24e124136b327793,80.5,19
1662092799000,1662092800281,EM300-3,24e124136b327790,78,18.9
1662092951834,1662092952080,EM300-1,24e124136c195948,85.5,19.3
1662093004292,1662093004535,EM300-2,24e124136b327793,79.5,18.9
1662093099999,1662093100243,EM300-3,24e124136b327790,78,19
1662093251839,1662093252124,EM300-1,24e124136c195948,85,19.4
1662093304277,1662093304585,EM300-2,24e124136b327793,79.5,19
1662093399988,1662093400293,EM300-3,24e124136b327790,76.5,19
1662093553000,1662093554286,EM300-1,24e124136c195948,84.5,19.5
1662093604000,1662093604539,EM300-2,24e124136b327793,79.5,18.9
1662093699000,1662093700269,EM300-3,24e124136b327790,78.5,19
1662093851000,1662093852143,EM300-1,24e124136c195948,84,19.4
1662093904000,1662093904493,EM300-2,24e124136b327793,79,19
1662093999000,1662094000213,EM300-3,24e124136b327790,78,19
1662094151000,1662094152091,EM300-1,24e124136c195948,83.5,19.5
1662094299000,1662094300256,EM300-3,24e124136b327790,79,19
1662094451000,1662094452134,EM300-1,24e124136c195948,83.5,19.5
1662094504000,1662094504491,EM300-2,24e124136b327793,79.5,19
1662094599000,1662094600205,EM300-3,24e124136b327790,78.5,19
1662094751000,1662094752093,EM300-1,24e124136c195948,83,19.4
1662094804000,1662094804551,EM300-2,24e124136b327793,79.5,19
1662095053000,1662095054237,EM300-1,24e124136c195948,83,19.4
1662095104000,1662095104490,EM300-2,24e124136b327793,81,19.1
1662095199000,1662095200206,EM300-3,24e124136b327790,79.5,18.9
1662095351000,1662095352085,EM300-1,24e124136c195948,83,19.3
1662095404000,1662095404536,EM300-2,24e124136b327793,81,19.1
1662095499000,1662095500237,EM300-3,24e124136b327790,79.5,19
1662095651000,1662095652122,EM300-1,24e124136c195948,83,19.3
1662095704000,1662095704480,EM300-2,24e124136b327793,81,19
1662095799000,1662095800191,EM300-3,24e124136b327790,79,19.1
1662095951000,1662095952055,EM300-1,24e124136c195948,83,19.3
1662096004000,1662096004518,EM300-2,24e124136b327793,81.5,19.2
1662096099000,1662096100223,EM300-3,24e124136b327790,79.5,19
1662096251000,1662096252104,EM300-1,24e124136c195948,83,19.3
1662096304000,1662096304460,EM300-2,24e124136b327793,81.5,19.1
1662096399000,1662096400177,EM300-3,24e124136b327790,79,19.1
1662096551820,1662096552047,EM300-1,24e124136c195948,83.5,19.2
1662096604183,1662096604407,EM300-2,24e124136b327793,81,19.1
1662096699925,1662096700219,EM300-3,24e124136b327790,79,19
1662096851818,1662096852090,EM300-1,24e124136c195948,83.5,19.3
1662096904180,1662096904451,EM300-2,24e124136b327793,81.5,19.1
1662096999917,1662097000165,EM300-3,24e124136b327790,80,19.1
1662097204000,1662097204405,EM300-2,24e124136b327793,82,19.2
1662097299000,1662097300213,EM300-3,24e124136b327790,79.5,19
1662097451000,1662097452088,EM300-1,24e124136c195948,84,19.2
1662097504000,1662097504443,EM300-2,24e124136b327793,81.5,19.2
1662097601000,1662097602365,EM300-3,24e124136b327790,78.5,19.1
1662097751000,1662097752162,EM300-1,24e124136c195948,84,19
1662097804000,1662097804411,EM300-2,24e124136b327793,81,19.1
1662097899000,1662097900228,EM300-3,24e124136b327790,79.5,19.1
1662098051000,1662098052104,EM300-1,24e124136c195948,84,19.1
1662098106000,1662098106654,EM300-2,24e124136b327793,81,19.1
1662098199000,1662098200195,EM300-3,24e124136b327790,79,19
1662098351000,1662098352077,EM300-1,24e124136c195948,84,19.2
1662098404000,1662098404425,EM300-2,24e124136b327793,81.5,19.1
1662098501000,1662098502340,EM300-3,24e124136b327790,78.5,19
1662098651000,1662098652111,EM300-1,24e124136c195948,84,19.1
1662098704000,1662098704467,EM300-2,24e124136b327793,81,19.2
1662098799000,1662098800182,EM300-3,24e124136b327790,79,19
1662098951000,1662098952152,EM300-1,24e124136c195948,84,19.1
1662099004000,1662099004411,EM300-2,24e124136b327793,81,19
1662099101000,1662099102320,EM300-3,24e124136b327790,79,19.1
1662099251000,1662099252097,EM300-1,24e124136c195948,84,19.1
1662099303000,1662099304355,EM300-2,24e124136b327793,81,19.1
1662099399000,1662099400168,EM300-3,24e124136b327790,79.5,19
1662099551834,1662099552142,EM300-1,24e124136c195948,84,19.1
1662099604125,1662099604401,EM300-2,24e124136b327793,81,19.1
1662099699880,1662099700100,EM300-3,24e124136b327790,79,19.1
1662099851829,1662099852075,EM300-1,24e124136c195948,84.5,19
1662099904110,1662099904334,EM300-2,24e124136b327793,80.5,19.1
1662099999877,1662100000149,EM300-3,24e124136b327790,78.5,19
1662100299000,1662100300197,EM300-3,24e124136b327790,79,19.2
